file: votematrix-2005.csv covering commons parliament 2005
file created: Sat Feb  9 11:29:53 2013by http://www.publicwhip.org.uk/
657 mps
1288 divisions



Data Values
      missing: -9
      tellaye: 1
      aye: 2
      both: 3
      no: 4
      tellno: 5



Variables match to MP names as mpidXXX where XXX is the mpid number below

mpid	firstname	surname	party	PublicWhip URL
1918	John	Healey	Lab	http://publicwhip.com/mp.php?mpid=1918
1824	David	Heath	LDem	http://publicwhip.com/mp.php?mpid=1824
1916	David	Heathcoat-Amory	Con	http://publicwhip.com/mp.php?mpid=1916
1420	John	Hemming	LDem	http://publicwhip.com/mp.php?mpid=1420
1731	Doug	Henderson	Lab	http://publicwhip.com/mp.php?mpid=1731
1769	Mark	Hendrick	Lab	http://publicwhip.com/mp.php?mpid=1769
1913	Charles	Hendry	Con	http://publicwhip.com/mp.php?mpid=1913
1658	Stephen	Hepburn	Lab	http://publicwhip.com/mp.php?mpid=1658
1746	John	Heppell	Lab	http://publicwhip.com/mp.php?mpid=1746
1377	Nick	Herbert	Con	http://publicwhip.com/mp.php?mpid=1377
1551	Lady	Hermon	UUP	http://publicwhip.com/mp.php?mpid=1551
1931	Stephen	Hesford	Lab	http://publicwhip.com/mp.php?mpid=1931
1676	Patricia	Hewitt	Lab	http://publicwhip.com/mp.php?mpid=1676
1380	David	Heyes	Lab	http://publicwhip.com/mp.php?mpid=1380
1848	Keith	Hill	Lab	http://publicwhip.com/mp.php?mpid=1848
1605	Meg	Hillier	Lab	http://publicwhip.com/mp.php?mpid=1605
1582	Mark	Hoban	Con	http://publicwhip.com/mp.php?mpid=1582
1383	Margaret	Hodge	Lab	http://publicwhip.com/mp.php?mpid=1383
1592	Sharon	Hodgson	Lab	http://publicwhip.com/mp.php?mpid=1592
1897	Kate	Hoey	Lab	http://publicwhip.com/mp.php?mpid=1897
1821	Douglas	Hogg	Con	http://publicwhip.com/mp.php?mpid=1821
1661	Philip	Hollobone	Con	http://publicwhip.com/mp.php?mpid=1661
1599	Adam	Holloway	Con	http://publicwhip.com/mp.php?mpid=1599
1497	Paul	Holmes	LDem	http://publicwhip.com/mp.php?mpid=1497
1998	Jimmy	Hood	Lab	http://publicwhip.com/mp.php?mpid=1998
1378	Geoff	Hoon	Lab	http://publicwhip.com/mp.php?mpid=1378
1512	Phil	Hope	Lab	http://publicwhip.com/mp.php?mpid=1512
1697	Kelvin	Hopkins	Lab	http://publicwhip.com/mp.php?mpid=1697
1754	John	Horam	Con	http://publicwhip.com/mp.php?mpid=1754
1494	Martin	Horwood	LDem	http://publicwhip.com/mp.php?mpid=1494
1973	Stewart	Hosie	SNP	http://publicwhip.com/mp.php?mpid=1973
1587	Michael	Howard	Con	http://publicwhip.com/mp.php?mpid=1587
1473	David	Howarth	LDem	http://publicwhip.com/mp.php?mpid=1473
1664	George	Howarth	Lab	http://publicwhip.com/mp.php?mpid=1664
1369	Gerald	Howarth	Con	http://publicwhip.com/mp.php?mpid=1369
2033	John	Howell	Con	http://publicwhip.com/mp.php?mpid=2033
1763	Kim	Howells	Lab	http://publicwhip.com/mp.php?mpid=1763
1501	Lindsay	Hoyle	Lab	http://publicwhip.com/mp.php?mpid=1501
1849	Beverley	Hughes	Lab	http://publicwhip.com/mp.php?mpid=1849
1831	Simon	Hughes	LDem	http://publicwhip.com/mp.php?mpid=1831
1565	Christopher	Huhne	LDem	http://publicwhip.com/mp.php?mpid=1565
1424	Joan	Humble	Lab	http://publicwhip.com/mp.php?mpid=1424
1859	Jeremy	Hunt	Con	http://publicwhip.com/mp.php?mpid=1859
2016	Mark	Hunter	LDem	http://publicwhip.com/mp.php?mpid=2016
1792	Nick	Hurd	Con	http://publicwhip.com/mp.php?mpid=1792
1387	John	Hutton	Lab	http://publicwhip.com/mp.php?mpid=1387
1432	Brian	Iddon	Lab	http://publicwhip.com/mp.php?mpid=1432
1384	Eric	Illsley	Lab	http://publicwhip.com/mp.php?mpid=1384
1976	Adam	Ingram	Lab	http://publicwhip.com/mp.php?mpid=1976
1750	Huw	Irranca-Davies	Lab	http://publicwhip.com/mp.php?mpid=1750
1590	Michael	Jack	Con	http://publicwhip.com/mp.php?mpid=1590
1614	Glenda	Jackson	Lab	http://publicwhip.com/mp.php?mpid=1614
1759	Stewart	Jackson	Con	http://publicwhip.com/mp.php?mpid=1759
1863	Si&acirc;n	James	Lab	http://publicwhip.com/mp.php?mpid=1863
1579	Bernard	Jenkin	Con	http://publicwhip.com/mp.php?mpid=1579
1867	Brian	Jenkins	Lab	http://publicwhip.com/mp.php?mpid=1867
1648	Alan	Johnson	Lab	http://publicwhip.com/mp.php?mpid=1648
1629	Boris	Johnson	Con	http://publicwhip.com/mp.php?mpid=1629
1647	Diana	Johnson	Lab	http://publicwhip.com/mp.php?mpid=1647
1506	David	Jones	Con	http://publicwhip.com/mp.php?mpid=1506
1907	Helen	Jones	Lab	http://publicwhip.com/mp.php?mpid=1907
1556	Kevan	Jones	Lab	http://publicwhip.com/mp.php?mpid=1556
1418	Lynne	Jones	Lab	http://publicwhip.com/mp.php?mpid=1418
1505	Martyn	Jones	Lab	http://publicwhip.com/mp.php?mpid=1505
1555	Tessa	Jowell	Lab	http://publicwhip.com/mp.php?mpid=1555
1983	Eric	Joyce	Lab	http://publicwhip.com/mp.php?mpid=1983
1706	Gerald	Kaufman	Lab	http://publicwhip.com/mp.php?mpid=1706
1817	Daniel	Kawczynski	Con	http://publicwhip.com/mp.php?mpid=1817
1741	Sally	Keeble	Lab	http://publicwhip.com/mp.php?mpid=1741
1943	Barbara	Keeley	Lab	http://publicwhip.com/mp.php?mpid=1943
1584	Alan	Keen	Lab	http://publicwhip.com/mp.php?mpid=1584
1448	Ann	Keen	Lab	http://publicwhip.com/mp.php?mpid=1448
1630	Paul	Keetch	LDem	http://publicwhip.com/mp.php?mpid=1630
1433	Ruth	Kelly	Lab	http://publicwhip.com/mp.php?mpid=1433
1643	Fraser	Kemp	Lab	http://publicwhip.com/mp.php?mpid=1643
2011	Charles	Kennedy	LDem	http://publicwhip.com/mp.php?mpid=2011
1690	Jane	Kennedy	Lab	http://publicwhip.com/mp.php?mpid=1690
1803	Robert	Key	Con	http://publicwhip.com/mp.php?mpid=1803
1561	Piara S	Khabra	Lab	http://publicwhip.com/mp.php?mpid=1561
1878	Sadiq	Khan	Lab	http://publicwhip.com/mp.php?mpid=1878
1833	David	Kidney	Lab	http://publicwhip.com/mp.php?mpid=1833
1689	Peter	Kilfoyle	Lab	http://publicwhip.com/mp.php?mpid=1689
1460	Julie	Kirkbride	Con	http://publicwhip.com/mp.php?mpid=1460
1954	Greg	Knight	Con	http://publicwhip.com/mp.php?mpid=1954
1548	Jim	Knight	Lab	http://publicwhip.com/mp.php?mpid=1548
1783	Susan	Kramer	LDem	http://publicwhip.com/mp.php?mpid=1783
1714	Ashok	Kumar	Lab	http://publicwhip.com/mp.php?mpid=1714
1874	Stephen	Ladyman	Lab	http://publicwhip.com/mp.php?mpid=1874
1574	Eleanor	Laing	Con	http://publicwhip.com/mp.php?mpid=1574
1395	Jacqui	Lait	Con	http://publicwhip.com/mp.php?mpid=1395
1736	Norman	Lamb	LDem	http://publicwhip.com/mp.php?mpid=1736
1882	David	Lammy	Lab	http://publicwhip.com/mp.php?mpid=1882
1715	Mark	Lancaster	Con	http://publicwhip.com/mp.php?mpid=1715
